"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"6829","Grammatostomias dentatus","elongated","bathypelagic",NA,3786,25.86,15.9,NA,"unknown",0.625
"6830","Enneanectes atrorus","elongated","reef-associated",1,15,10,3.3,NA,"unknown",0.5
"6831","Leptostomias bilobatus","elongated","pelagic-oceanic",NA,NA,18.7,11,NA,"unknown",0.5002
"6832","Saurida suspicio","elongated","demersal",NA,NA,10,9,NA,"medium",0.5
"6833","Myrophis platyrhynchus","eel-like","demersal",NA,186,14.56,21,NA,"unknown",0.5078
"6834","Quassiremus ascensionis","eel-like","reef-associated",NA,12,36.39,71,NA,"unknown",0.5625
"6835","Callechelys bilinearis","eel-like","demersal",0,22,67.13,170,NA,"unknown",0.5
"6836","Melanorhinus microps","fusiform / normal","pelagic-oceanic",NA,NA,10,7.5,NA,"unknown",0.625
"6837","Hypoplectrus gummigutta","short and / or deep","reef-associated",1,45,19.22,13.2,NA,"very high",0.5
"6838","Hypoplectrus guttavarius","short and / or deep","reef-associated",3,30,19.04,13,NA,"very high",0.5
"6839","Hypoplectrus nigricans","short and / or deep","reef-associated",3,13,22.15,15.24,NA,"very high",0.5
"6840","Lestidiops affinis","eel-like","bathypelagic",0,2000,13.79,11.2,NA,"unknown",0.5
"6841","Lestidiops similis","eel-like","bathypelagic",NA,NA,20.19,20,NA,"unknown",0.5
"6842","Macroparalepis affinis","elongated","bathypelagic",0,2000,44.37,55,NA,"unknown",0.5078
"6843","Malacoctenus gilli",NA,"reef-associated",1,5,10,7.6,NA,"unknown",0.5
"6844","Macroparalepis brevis",NA,"pelagic-oceanic",0,650,15.77,13.5,NA,"unknown",0.5078
"6845","Malacoctenus versicolor","elongated","reef-associated",0,7,10,7.6,NA,"unknown",0.5
"6846","Lucayablennius zingaro","elongated","reef-associated",13,106,10,5,NA,"unknown",1
"6847","Paralepis brevirostris",NA,"pelagic-oceanic",100,600,28.51,24.2,NA,"unknown",0.5625
"6848","Melamphaes lugubris","fusiform / normal","bathypelagic",50,3400,45.61,8.5,NA,"unknown",0.5
"6849","Stemonosudis gracilis","elongated","bathypelagic",20,500,12.47,9.9,NA,"unknown",0.5005
"6850","Stemonosudis intermedia","elongated","bathypelagic",50,1000,18.97,15.2,NA,"unknown",0.5005
"6851","Stemonosudis siliquiventer",NA,"bathypelagic",40,2000,19.85,15.95,NA,"unknown",0.5005
"6852","Uncisudis quadrimaculata",NA,"bathypelagic",500,600,12.47,9.9,NA,"unknown",0.5625
"6853","Evermannella indica","elongated","bathypelagic",500,800,10,11.9,"of no interest","unknown",0.5352
"6854","Odontostomops normalops","elongated","pelagic-oceanic",400,1000,10,12.3,NA,"unknown",1.0039
"6855","Benthalbella infans","elongated","bathypelagic",0,4740,10,13.8,"of no interest","unknown",0.5313
"6856","Rosenblattichthys hubbsi","elongated","pelagic-oceanic",0,657,10,14.45,"of no interest","unknown",0.5625
"6857","Scopelarchoides danae","elongated","bathypelagic",0,1850,10,12.3,"of no interest","unknown",0.5313
"6858","Scopelarchus analis","elongated","bathypelagic",0,820,10,12.6,"of no interest","unknown",0.5625
"6859","Scopelarchus guentheri","fusiform / normal","bathypelagic",0,4000,10,12,NA,"unknown",0.5625
"6860","Psilotris alepis",NA,"reef-associated",0,5,10,2.39,NA,"very high",0.5625
"6861","Scopelarchus michaelsarsi","fusiform / normal","bathypelagic",256,500,10,10.15,"of no interest","unknown",0.5625
"6862","Psilotris batrachodes","elongated","reef-associated",8,50,10,1.9,NA,"very high",1
"6863","Elacatinus evelynae","elongated","reef-associated",1,53,10,4,NA,"very high",0.5
"6864","Tigrigobius gemmatus","elongated","reef-associated",0,10,10,2.5,NA,"very high",0.5002
"6865","Tigrigobius pallens","elongated","demersal",0,20,10,1.9,NA,"very high",0.5002
"6866","Tigrigobius dilepis","elongated","reef-associated",5,30,10,2.5,NA,"very high",0.5002
"6867","Lythrypnus elasson",NA,"reef-associated",0,11,10,1.58,NA,"very high",0.5
"6868","Diaphus diadematus","fusiform / normal","pelagic-oceanic",NA,350,19.75,4.2,NA,"high",0.5
"6869","Diaphus luetkeni","elongated","bathypelagic",40,750,26.58,6,NA,"high",0.5
"6870","Diaphus meadi","elongated","bathypelagic",NA,250,24.9,5.4,NA,"high",0.5
"6871","Diaphus problematicus","elongated","bathypelagic",40,820,35.75,10.5,NA,"high",0.5
"6872","Diaphus vanhoeffeni",NA,"pelagic-oceanic",40,750,19.75,4.2,NA,"high",0.5
"6873","Tomicodon fasciatus","elongated","demersal",NA,NA,33.21,5.1,NA,"unknown",0.5
"6874","Hygophum macrochir","elongated","pelagic-oceanic",0,750,26.58,6,NA,"high",0.502
"6875","Lampadena chavesi","elongated","bathypelagic",40,800,31.66,8,NA,"high",0.501
"6876","Lampadena dea","elongated","bathypelagic",1500,2390,33.47,8.9,NA,"high",0.501
"6877","Lampadena pontifex","fusiform / normal","bathypelagic",0,750,36.29,11,NA,"high",0.501
"6878","Lampadena speculigera","elongated","bathypelagic",0,1000,39.65,15.3,NA,"high",0.501
"6879","Acyrtus rubiginosus","elongated","demersal",0,4,22.29,3.5,NA,"unknown",0.5625
"6880","Nannobrachium cuprarium",NA,"bathypelagic",40,1000,31.07,7.9,NA,"high",0.5
"6881","Lampanyctus festivus","elongated","bathypelagic",40,1052,38.92,13.8,NA,"high",0.5
"6882","Nannobrachium isaacsi",NA,"pelagic-oceanic",0,2300,38.45,13.3,NA,"high",0.5
"6883","Rouleina squamilatera","elongated","bathypelagic",677,1150,51.48,38,NA,"unknown",0.501
"6884","Lampanyctus vadulus","elongated","bathypelagic",0,370,34.88,9.9,NA,"high",0.5
"6885","Astronesthes trifibulatus","elongated","bathypelagic",0,670,25,15,NA,"unknown",0.5
"6886","Persparsia kopua","elongated","pelagic-oceanic",700,1500,10,14,NA,"unknown",1
"6887","Eustomias bulbornatus","elongated","bathypelagic",0,1050,21.97,16,NA,"unknown",0.5
"6888","Eustomias trewavasae","elongated","bathypelagic",0,1000,29.05,26,NA,"unknown",0.5
"6889","Opostomias micripnus","elongated","bathypelagic",NA,NA,48.8,50,NA,"unknown",0.75
"6890","Diplophos rebainsi","eel-like","bathypelagic",900,2000,35.12,25,NA,"unknown",0.5312
"6891","Polyipnus omphus","short and / or deep","benthopelagic",200,NA,16.96,5.59,"of no interest","unknown",0.5
"6892","Myctophum phengodes","elongated","bathypelagic",NA,NA,33.78,9.3,NA,"high",0.5
"6893","Sternoptyx obscura","short and / or deep","bathypelagic",500,2700,13.79,4.5,"of no interest","unknown",0.5625
"6894","Bathypterois filiferus","elongated","bathydemersal",1055,2835,53.02,26,NA,"unknown",0.5
"6895","Scopelarchoides signifer","fusiform / normal","bathypelagic",NA,NA,10,10,NA,"unknown",0.5313
"6896","Symbolophorus barnardi","elongated","bathypelagic",100,800,37.35,11.6,NA,"high",0.5039
"6897","Symbolophorus kreffti","elongated","pelagic-oceanic",0,150,36.81,11.2,NA,"high",0.5039
"6898","Symbolophorus rufinus","elongated","bathypelagic",0,850,33.78,9.4,NA,"high",0.5039
"6899","Stemonosudis macrura","elongated","bathypelagic",18,330,15.01,15,NA,"unknown",0.5005
"6900","Coccorella atlantica","elongated","bathypelagic",50,1000,12.57,18.5,"of no interest","unknown",0.7539
"6901","Diaphus aliciae","fusiform / normal","bathypelagic",NA,489,26.58,6,NA,"high",0.5
"6902","Diaphus antonbruuni","fusiform / normal","bathypelagic",NA,500,24.98,5.5,NA,"high",0.5
"6903","Diaphus fulgens","elongated","bathypelagic",85,1000,21.84,4.5,NA,"high",0.5
"6904","Apletodon pellegrini","elongated","demersal",NA,NA,26.52,5,NA,"unknown",0.5156
"6905","Diaphus jenseni","elongated","bathypelagic",350,1389,23.48,5,NA,"high",0.5
"6906","Diaphus knappi","elongated","benthopelagic",122,664,40.81,17.3,NA,"high",0.5
"6907","Diaphus malayanus","elongated","pelagic-oceanic",1000,2000,21.84,4.5,NA,"high",0.5
"6908","Diaphus nielseni","elongated","bathypelagic",NA,NA,18.86,4,NA,"high",0.5
"6909","Diaphus parri","elongated","bathypelagic",350,1071,27.63,6.5,NA,"high",0.5
"6910","Diaphus richardsoni","elongated","bathypelagic",350,1000,26.58,6,NA,"high",0.5
"6911","Diaphus thiollierei","elongated","bathypelagic",NA,NA,34.65,10,NA,"high",0.5
"6912","Diogenichthys panurgus","elongated","pelagic-oceanic",NA,366,10.53,2.3,NA,"high",0.625
"6913","Gonichthys barnesi","fusiform / normal","bathypelagic",0,1000,23.48,5,NA,"high",0.5625
"6914","Hygophum hanseni","fusiform / normal","bathypelagic",57,728,28.47,6.7,NA,"high",0.502
"6915","Lampadena notialis","elongated","bathypelagic",0,800,38.92,13.9,NA,"high",0.501
"6916","Lampanyctus lepidolychnus","elongated","bathypelagic",312,332,37.35,11.9,NA,"high",0.5
"6917","Lampanyctus turneri","elongated","bathypelagic",NA,1757,29.4,7,NA,"high",0.5
"6918","Loweina interrupta","fusiform / normal","bathypelagic",60,800,18.14,3.9,NA,"high",0.625
"6919","Protomyctophum subparallelum","fusiform / normal","pelagic-oceanic",350,NA,16.3,3.6,NA,"high",0.5
"6920","Coryphaenoides striaturus","elongated","bathypelagic",823,1738,56.66,54,NA,"medium",0.5
"6921","Gadomus capensis","elongated","bathypelagic",850,1480,50.47,46,NA,"medium",0.5001
"6922","Mesobius antipodum","elongated","bathypelagic",846,1300,59.82,66,NA,"medium",0.75
"6923","Parabrotula plagiophthalma","eel-like","bathypelagic",0,3000,10,5.4,NA,"unknown",0.875
"6924","Monomitopus nigripinnis","elongated","bathydemersal",700,1510,31.07,35,"of no interest",NA,0.5001
"6925","Porogadus miles","eel-like","bathydemersal",1000,5055,28.12,30,"of no interest",NA,0.5001
"6926","Carapus mourlani","eel-like","reef-associated",1,150,10,17,"of no interest","unknown",0.5312
"6927","Onuxodon parvibrachium","eel-like","demersal",1,30,10,10,"of no interest","unknown",0.625
"6928","Pyramodon punctatus","elongated","benthopelagic",120,731,15.45,29,"of no interest","unknown",0.5625
"6929","Cataetyx niki","elongated","bathydemersal",1000,1100,55.81,64,"of no interest","unknown",0.5002
"6930","Hyporhamphus balinensis","elongated","reef-associated",0,NA,12.07,16.5,NA,"unknown",0.5
"6931","Hyporhamphus neglectus","elongated","pelagic-neritic",0,NA,12.07,16.5,NA,"unknown",0.5
"6932","Hyporhamphus neglectissimus","elongated","pelagic-neritic",0,NA,10.53,14.4,NA,"unknown",0.5
"6933","Bathypterois guentheri","elongated","bathydemersal",800,1500,62.09,26,NA,"unknown",0.5
"6934","Sphagemacrurus pumiliceps","elongated","bathypelagic",732,1880,33.21,25,NA,"medium",0.5156
"6935","Lucigadus ori","elongated","bathydemersal",120,1153,31.06,22,NA,"medium",0.5039
"6936","Encheliophis boraborensis","eel-like","demersal",1,150,16,30,"of no interest","unknown",0.5078
"6937","Barathronus maculatus","elongated","bathydemersal",386,1525,10,18,"of no interest","unknown",0.501
"6938","Solocisquama stellulata","short and / or deep","bathydemersal",274,550,32.92,9.3,NA,"unknown",0.625
"6939","Coelophrys micropa","short and / or deep","bathydemersal",439,1400,31.66,8.41,NA,"unknown",0.5078
"6940","Oneirodes kreffti","short and / or deep","bathypelagic",0,2000,31.13,11.1,"of no interest","unknown",0.5
"6941","Lepadichthys caritus","elongated","reef-associated",4,20,18.95,3,NA,"unknown",0.5005
"6942","Iso natalensis","elongated","pelagic-neritic",NA,NA,10,8,NA,"unknown",0.5625
"6943","Petalichthys capensis","elongated","pelagic-oceanic",0,NA,34.72,35,NA,"high",1
"6944","Agrostichthys parkeri","eel-like","pelagic-oceanic",NA,NA,84,300,NA,"unknown",1.125
"6945","Parataeniophorus brevis","elongated","bathypelagic",0,1400,10,4.6,NA,"unknown",0.625
"6946","Melamphaes danae","fusiform / normal","bathypelagic",75,1275,23.87,2.1,"of no interest","unknown",0.5
"6947","Melamphaes simus","fusiform / normal","bathypelagic",0,800,29.16,2.9,"of no interest","unknown",0.5
"6948","Poromitra megalops","fusiform / normal","bathypelagic",150,1000,39.64,6.4,"of no interest","unknown",0.5
"6949","Scopeloberyx opisthopterus","fusiform / normal","bathypelagic",500,3000,33.72,3.7,"of no interest","unknown",0.502
"6950","Scopeloberyx robustus","fusiform / normal","bathypelagic",0,4740,41,7.3,"of no interest","unknown",0.502
"6951","Acentronura tentaculata","elongated","reef-associated",1,20,10,6.3,NA,"unknown",0.625
"6952","Sebastapistes tinkhami","fusiform / normal","reef-associated",1,30,25.03,10,NA,"high",0.501
"6953","Caracanthus madagascariensis","short and / or deep","reef-associated",NA,NA,14.21,5,NA,"unknown",0.5625
"6954","Caulophryne polynema","short and / or deep","bathypelagic",900,1250,10,1.6,NA,"unknown",0.5938
"6955","Plectranthias morgansi","short and / or deep","demersal",80,267,10,5,NA,"very high",0.5
"6956","Serranus novemcinctus","fusiform / normal","demersal",NA,NA,33.02,32,NA,"medium",0.5
"6957","Melanocetus murrayi","short and / or deep","bathypelagic",100,6370,10,2,NA,"unknown",0.5312
"6958","Hemiramphus convexus","elongated","pelagic-neritic",0,6,13.11,23,"minor commercial","unknown",0.5005
"6959","Himantolophus albinares","short and / or deep","bathypelagic",330,1950,13.18,19,NA,"unknown",0.5
"6960","Florenciella lugubris","elongated","bathydemersal",150,800,22.69,10,NA,"unknown",1
"6961","Gymnapogon africanus","elongated","demersal",NA,NA,10,5,NA,"high",0.5039
"6962","Pseudamiops pellucidus","elongated","demersal",NA,NA,10,4,NA,"high",0.5312
"6963","Rhynchorhamphus naga","elongated","pelagic-neritic",0,NA,13.13,17.7,NA,"unknown",0.5625
"6964","Caristius fasciatus","short and / or deep","bathypelagic",100,420,20.65,30,NA,"unknown",0.5039
"6965","Chaenophryne draco","short and / or deep","bathypelagic",350,1750,32.69,12.3,NA,"unknown",0.5312
"6966","Chaenophryne longiceps","short and / or deep","bathypelagic",500,1000,43.47,24.5,NA,"unknown",0.5312
"6967","Chaenophryne ramifera","short and / or deep","bathypelagic",200,1000,28.26,9.6,NA,"unknown",0.5312
"6968","Danaphryne nigrifilis",NA,"bathypelagic",0,2000,28.83,NA,NA,"unknown",1
"6969","Dolopichthys danae","short and / or deep","bathypelagic",600,2000,21.31,NA,NA,"unknown",0.5078
"6970","Sphyraena chrysotaenia","elongated","pelagic-neritic",NA,NA,24.48,32.2,NA,"medium",0.5
"6971","Dolopichthys longicornis",NA,"bathypelagic",1375,2200,21.31,NA,NA,"unknown",0.5078
"6972","Opistognathus nigromarginatus","elongated","demersal",2,17,10,18.6,NA,"unknown",0.5
"6973","Dysalotus alcocki","elongated","bathypelagic",0,2100,17.45,22.5,"of no interest","unknown",0.75
"6974","Dysalotus oligoscolus","elongated","bathypelagic",1500,NA,17.63,22.65,"of no interest","unknown",0.75
"6975","Kali indica","elongated","bathypelagic",1000,3300,21.9,26.15,"of no interest","unknown",0.5078
"6976","Kali macrodon","elongated","bathypelagic",NA,2500,21.72,26,"of no interest","unknown",0.5078
"6977","Dolopichthys pullatus","short and / or deep","bathypelagic",800,2000,21.31,NA,NA,"unknown",0.5078
"6978","Lophodolos indicus","short and / or deep","bathypelagic",750,1625,24.92,NA,NA,"unknown",0.75
"6979","Kali macrura","elongated","bathypelagic",1000,NA,10,12.31,"of no interest","unknown",0.5078
"6980","Microlophichthys microlophus","other","bathypelagic",800,2200,28.7,NA,NA,"unknown",0.75
"6981","Oneirodes anisacanthus",NA,"bathypelagic",NA,1500,39.5,1.3,NA,"unknown",0.5
"6982","Pleuroscopus pseudodorsalis","elongated","demersal",40,800,34.02,33,NA,"unknown",1
"6983","Limnichthys nitidus","elongated","demersal",4,20,10,3.5,NA,"unknown",0.5156
"6984","Oneirodes carlsbergi","short and / or deep","bathypelagic",360,1000,29.45,NA,NA,"unknown",0.5
"6985","Oneirodes eschrichtii","short and / or deep","bathypelagic",750,2500,43.32,28.8,NA,"unknown",0.5
"6986","Alloblennius parvus","fusiform / normal","demersal",6,10,10,2.6,NA,"unknown",0.5312
"6987","Hirculops cornifer","elongated","demersal",NA,NA,14.62,6,NA,"unknown",1
"6988","Blenniella cyanostigma","elongated","reef-associated",NA,NA,21.17,8.1,NA,"unknown",0.502
"6989","Omobranchus banditus","fusiform / normal","demersal",NA,NA,14.62,6,NA,"unknown",0.5
"6990","Oneirodes macrosteus","other","bathypelagic",0,1000,36.86,NA,NA,"unknown",0.5
"6991","Parablennius cornutus","fusiform / normal","demersal",NA,NA,31.62,15,NA,"unknown",0.5
"6992","Oneirodes myrionemus",NA,"bathypelagic",0,1800,29.45,NA,NA,"unknown",0.5
"6993","Parablennius pilicornis","fusiform / normal","demersal",0,25,29.04,12.7,NA,"unknown",0.5
"6994","Pentherichthys atratus",NA,"bathypelagic",NA,2500,28.7,NA,NA,"unknown",1
"6995","Scartella emarginata","fusiform / normal","demersal",NA,NA,24.92,10,NA,"unknown",0.5078
"6996","Spiniphryne gladisfenae","short and / or deep","bathypelagic",NA,1955,30.21,NA,NA,"unknown",0.75
"6997","Ceratias uranoscopus","other","bathypelagic",0,2091,19.28,24,NA,"unknown",0.6875
"6998","Enneapterygius abeli","fusiform / normal","reef-associated",1,14,10,2.5,NA,"unknown",0.5
"6999","Enneapterygius clarkae","elongated","demersal",NA,NA,10,2.7,NA,"unknown",0.5
"7000","Enneapterygius elegans","elongated","reef-associated",0,12,10,4,NA,"unknown",0.5
"7001","Enneapterygius pusillus","elongated","demersal",3,20,10,3,NA,"unknown",0.5
"7002","Gigantactis elsmani","other","bathypelagic",0,3000,36.85,NA,NA,"unknown",0.5
"7003","Enneapterygius ventermaculus","elongated","demersal",0,12,10,4,NA,"unknown",0.5
"7004","Gigantactis vanhoeffeni","short and / or deep","bathypelagic",300,5300,43.84,NA,NA,"unknown",0.5
"7005","Clinus heterodon","elongated","demersal",NA,NA,10,13,NA,"unknown",0.5
"7006","Haplophryne mollis","short and / or deep","bathypelagic",NA,2250,10,15.9,"of no interest","unknown",1
"7007","Linophryne arborifera","other","bathypelagic",200,1000,10,7,NA,"unknown",0.5
"7008","Linophryne coronata","short and / or deep","bathypelagic",0,1500,10,2.6,NA,"unknown",0.5
"7009","Linophryne pennibarbata","other","bathypelagic",750,1500,10,NA,NA,"unknown",0.5
"7010","Diplogrammus infulatus","elongated","demersal",1,20,17.67,12,NA,"unknown",0.5078
"7011","Synchiropus postulus","fusiform / normal","reef-associated",0,12,10,2.6,NA,"unknown",0.5
"7012","Acentrogobius audax","fusiform / normal","demersal",NA,NA,25.83,10,NA,"very high",0.5
"7013","Zenarchopterus buffonis","elongated","reef-associated",0,NA,11.94,23,NA,"unknown",0.5
